-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.535us         0.01%      13.535us       1.354us           0 B           0 B           0 B           0 B            10  
                           _compute_slot_mapping_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.480us         0.00%      12.480us       2.496us           0 B           0 B           0 B           0 B             5  
                                              aten::add         0.10%     323.398us         0.15%     467.664us      31.178us      11.970us         0.00%      11.970us       0.798us           0 B           0 B      42.50 KB      42.50 KB            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.807us         0.00%      11.807us       1.181us           0 B           0 B           0 B           0 B            10  
                                        cudaEventRecord         0.09%     278.041us         0.09%     278.041us       3.271us       6.848us         0.00%       6.848us       0.081us           0 B           0 B           0 B           0 B            85  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.305us         0.00%       6.305us       1.261us           0 B           0 B           0 B           0 B             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.535us         0.00%       5.535us       1.107us           0 B           0 B           0 B           0 B             5  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.832us         0.00%       4.832us       0.966us           0 B           0 B           0 B           0 B             5  
                                    cudaStreamWaitEvent         0.05%     153.782us         0.05%     153.782us       3.417us       3.584us         0.00%       3.584us       0.080us           0 B           0 B           0 B           0 B            45  
                                   cudaEventSynchronize        34.18%     106.704ms        34.18%     106.704ms       2.371ms       2.464us         0.00%       2.464us       0.055us           0 B           0 B           0 B           0 B            45  
